Date,Min Temperature,Max Temperature,Humidity,Rainfall
2025-06-23,29.1,39.4,58.0,6.3
2025-06-24,33.5,41.4,63.3,0.0
2025-06-25,32.1,40.2,52.1,28.7
2025-06-26,30.0,41.1,48.5,0.0
2025-06-27,32.6,45.0,57.5,6.0
2025-06-28,30.0,41.7,50.2,8.9
2025-06-29,32.2,39.8,62.2,0.0
2025-06-30,29.3,40.2,48.4,0.0
2025-07-01,32.6,42.5,50.0,0.0
2025-07-02,29.0,41.4,56.8,0.0
2025-07-03,33.5,44.8,52.5,0.0
2025-07-04,30.7,44.1,49.8,26.2
2025-07-05,33.1,43.7,63.3,0.0
2025-07-06,35.0,43.4,55.9,31.4
2025-07-07,30.5,39.6,50.3,25.3
2025-07-08,31.8,43.5,51.1,0.0
2025-07-09,30.0,41.3,62.1,0.0
2025-07-10,30.4,39.3,56.4,0.0
2025-07-11,33.7,45.0,63.1,25.1
2025-07-12,29.7,40.2,63.0,16.5
2025-07-13,32.0,42.0,52.4,0.0
2025-07-14,33.7,41.7,52.8,0.0
2025-07-15,33.1,43.4,52.3,0.0
2025-07-16,32.1,41.6,61.1,12.9
2025-07-17,34.7,43.5,56.6,0.8
2025-07-18,33.2,42.8,54.7,0.0
2025-07-19,31.2,39.4,58.3,16.1
2025-07-20,28.9,41.3,56.3,0.0
2025-07-21,31.7,41.3,51.7,0.0
2025-07-22,31.6,45.4,53.9,0.0
2025-07-23,34.2,41.2,62.3,0.0
2025-07-24,29.7,40.9,50.1,0.0
2025-07-25,30.4,42.4,52.8,0.0
2025-07-26,32.7,42.1,63.4,1.3
2025-07-27,30.3,39.2,55.6,0.0
2025-07-28,33.2,41.3,56.3,10.0
2025-07-29,30.8,41.1,54.0,0.0
2025-07-30,32.8,44.7,53.1,8.5
2025-07-31,30.7,44.7,52.8,13.1
2025-08-01,34.1,43.0,60.3,0.0
2025-08-02,32.4,39.7,51.9,0.0
2025-08-03,31.9,,56.0,0.0
2025-08-04,30.9,42.3,60.8,0.0
2025-08-05,29.9,38.3,48.6,0.0
2025-08-06,28.3,39.1,56.0,0.0
2025-08-07,27.9,41.5,53.6,0.0
2025-08-08,32.1,40.5,58.4,0.0
2025-08-09,27.4,39.1,62.7,0.0
2025-08-10,27.9,41.0,53.2,0.0
2025-08-11,30.9,38.8,51.2,0.0
2025-08-12,29.1,42.8,50.5,0.0
2025-08-13,26.8,39.1,54.8,0.0
2025-08-14,29.6,41.1,55.2,0.0
2025-08-15,30.4,42.0,51.8,27.0
2025-08-16,32.0,41.2,55.8,0.0
2025-08-17,31.1,39.5,54.5,0.0
2025-08-18,28.8,41.2,53.4,0.0
2025-08-19,28.2,39.3,52.0,0.0
2025-08-20,28.2,36.1,59.8,0.0
2025-08-21,30.1,39.9,57.6,11.8
2025-08-22,28.3,36.9,63.7,9.0
2025-08-23,26.5,37.6,56.0,0.0
2025-08-24,32.1,39.6,65.5,0.0
2025-08-25,28.0,41.3,65.4,0.0
2025-08-26,25.7,38.7,55.7,14.0
2025-08-27,26.9,40.3,58.9,0.0
2025-08-28,27.6,41.5,61.6,0.0
2025-08-29,28.0,37.3,56.3,0.0
2025-08-30,29.6,36.9,62.9,0.0
2025-08-31,27.2,41.0,62.3,1.1
2025-09-01,31.0,38.4,52.0,0.0
2025-09-02,25.7,35.0,54.1,0.0
2025-09-03,26.3,35.0,51.6,8.0
2025-09-04,27.2,35.2,54.0,0.0
2025-09-05,27.6,38.6,62.2,15.1
2025-09-06,25.7,37.3,57.2,0.0
2025-09-07,29.4,37.4,59.0,0.0
2025-09-08,29.0,37.0,55.5,30.5
2025-09-09,24.3,35.7,53.6,24.0
2025-09-10,25.6,35.1,66.2,32.1
2025-09-11,24.7,32.1,64.1,0.0
2025-09-12,26.1,37.9,62.9,0.0
2025-09-13,22.7,35.7,67.3,0.0
2025-09-14,23.8,33.9,53.4,0.0
2025-09-15,24.0,31.8,67.3,0.0
2025-09-16,24.1,36.0,64.5,19.5
2025-09-17,23.7,37.4,64.9,33.4
2025-09-18,25.8,36.8,63.3,0.0
2025-09-19,,36.8,54.5,0.0
2025-09-20,22.4,35.4,58.1,0.0
2025-09-21,21.9,33.6,66.7,0.0
2025-09-22,21.7,32.0,56.2,0.0
2025-09-23,23.8,34.5,63.7,0.0
2025-09-24,22.9,36.2,68.5,0.0
2025-09-25,24.5,35.5,59.1,8.2
2025-09-26,24.1,33.3,56.1,0.0
2025-09-27,21.6,31.4,66.0,0.0
2025-09-28,21.0,34.4,66.2,0.0
2025-09-29,23.7,34.8,66.8,0.0
2025-09-30,19.3,31.1,57.5,0.0
2025-10-01,19.3,31.0,62.8,0.0
2025-10-02,24.1,33.0,68.4,21.6
2025-10-03,21.5,35.0,61.2,0.0
2025-10-04,22.7,31.8,59.9,0.0
2025-10-05,22.8,30.2,64.5,0.0
2025-10-06,21.6,33.0,60.4,0.0
2025-10-07,18.8,30.5,59.9,8.0
2025-10-08,21.1,31.7,67.5,6.9
2025-10-09,18.5,28.0,60.5,0.0
2025-10-10,20.5,32.8,57.0,0.0
2025-10-11,16.4,28.4,64.1,10.7
2025-10-12,16.8,30.5,58.1,0.0
2025-10-13,20.3,33.5,61.0,0.0
2025-10-14,17.2,30.0,59.9,0.0
2025-10-15,19.9,32.1,,0.0
2025-10-16,17.2,27.4,60.6,0.0
2025-10-17,17.9,25.9,73.5,0.0
2025-10-18,18.3,29.1,66.5,3.6
2025-10-19,17.9,28.3,71.5,0.0
2025-10-20,19.4,30.0,61.5,0.0
2025-10-21,19.2,26.4,69.8,0.0
2025-10-22,14.8,28.1,65.0,0.0
2025-10-23,18.1,29.2,67.6,31.7
2025-10-24,18.4,28.9,65.6,21.5
2025-10-25,16.8,30.1,66.7,0.0
2025-10-26,16.2,23.9,63.1,0.0
2025-10-27,16.1,29.2,73.9,0.0
2025-10-28,18.3,26.8,67.8,0.0
2025-10-29,14.6,27.0,72.1,0.0
2025-10-30,15.4,27.7,75.4,0.0
2025-10-31,14.6,24.2,69.4,0.0
2025-11-01,14.1,25.7,63.6,27.4
2025-11-02,14.8,27.5,69.1,0.0
2025-11-03,13.7,23.6,72.8,0.0
2025-11-04,14.7,22.4,65.9,0.0
2025-11-05,17.2,24.3,71.7,0.0
2025-11-06,15.5,27.1,74.9,0.0
2025-11-07,14.9,28.8,76.7,0.0
2025-11-08,15.5,27.9,76.6,0.0
2025-11-09,15.3,24.8,76.1,29.9
2025-11-10,11.6,21.4,64.6,0.0
2025-11-11,16.7,25.2,72.6,0.0
2025-11-12,13.4,21.5,70.7,0.0
2025-11-13,15.5,26.4,67.1,0.0
2025-11-14,12.2,19.7,63.3,0.0
2025-11-15,13.7,27.0,71.2,33.8
2025-11-16,15.1,,72.4,0.0
2025-11-17,11.5,20.3,68.1,0.0
2025-11-18,12.8,23.7,77.2,20.4
2025-11-19,15.5,24.2,65.7,0.0
2025-11-20,14.2,21.6,68.6,0.0
2025-11-21,9.6,20.0,77.6,0.0
2025-11-22,11.6,20.9,72.2,0.0
2025-11-23,11.3,23.4,65.4,0.0
2025-11-24,14.6,22.8,79.3,0.0
2025-11-25,11.9,21.3,74.4,0.0
2025-11-26,10.3,22.2,75.9,0.0
2025-11-27,10.0,23.2,69.2,0.0
2025-11-28,10.2,23.2,70.9,0.0
2025-11-29,9.4,22.4,73.6,0.0
2025-11-30,12.4,23.3,72.9,0.0
2025-12-01,12.6,23.0,68.8,6.6
2025-12-02,11.5,19.5,75.3,0.0
2025-12-03,7.0,19.6,78.3,0.0
2025-12-04,8.1,21.9,75.4,0.0
2025-12-05,9.4,23.1,67.6,0.0
2025-12-06,6.8,20.7,73.3,22.8
2025-12-07,5.7,19.3,80.8,0.0
2025-12-08,10.0,17.2,76.8,0.0
2025-12-09,9.8,19.5,68.1,15.3
2025-12-10,8.0,18.6,78.3,0.0
2025-12-11,6.6,18.1,73.9,25.7
2025-12-12,8.3,16.4,79.6,0.0
2025-12-13,11.0,20.9,66.4,22.2
2025-12-14,7.0,16.7,79.0,18.3
2025-12-15,12.2,19.8,70.4,16.7
2025-12-16,9.2,19.4,70.7,15.0
2025-12-17,10.9,19.5,75.4,0.0
2025-12-18,9.1,18.7,71.5,0.0
2025-12-19,8.4,20.7,79.1,0.0
2025-12-20,6.4,17.0,74.6,0.0
2025-12-21,8.2,19.1,67.3,0.0
2025-12-22,6.3,16.2,77.9,0.0
2025-12-23,8.8,17.8,78.4,0.0
2025-12-24,9.9,20.3,69.8,0.0
2025-12-25,10.5,18.0,71.3,3.1
2025-12-26,6.5,17.4,75.5,0.0
2025-12-27,7.8,20.9,77.9,0.0
2025-12-28,5.0,18.5,67.4,0.0
2025-12-29,7.4,17.2,68.6,10.2
2025-12-30,9.5,21.1,68.1,0.0
2025-12-31,11.5,19.0,82.0,0.0
